Entity;Year;Retail;Out;Households;Total
Seychelles;2022;12;27;188;226
Sierra Leone;2019;15;27;100;142
Sierra Leone;2022;10;31;92;133
Singapore;2019;13;25;79;117
Singapore;2022;46;35;69;150
Sint Maarten (Dutch part);2019;13;25;73;111
Sint Maarten (Dutch part);2022;14;39;80;132
Slovakia;2019;13;26;70;108
Slovakia;2020;3;1;65;70
Slovakia;2021;3;2;67;71
Slovakia;2022;3;1;65;69
Slovenia;2019;7;20;34;60
Slovenia;2020;7;20;35;63
Slovenia;2021;7;19;36;61
Slovenia;2022;7;20;36;63
Small Island Developing States (SIDS);2019;15;26;77;117
Small Island Developing States (SIDS);2022;18;40;96;153
Solomon Islands;2019;16;27;90;133
Solomon Islands;2022;10;31;43;84
Somalia;2019;15;27;99;141
Somalia;2022;10;31;92;133
South Africa;2019;16;28;40;84
South Africa;2022;15;31;47;93
South Korea;2019;13;25;71;109
South Korea;2022;14;25;95;133
South Sudan;2019;17;29;109;155
South Sudan;2022;10;31;92;133
Spain;2019;13;25;77;115
Spain;2020;7;5;30;42
Spain;2022;7;4;61;72
Sri Lanka;2019;15;27;75;117
Sri Lanka;2022;10;33;76;118
Sub-Saharan Africa (UN);2019;15;27;114;157
Sub-Saharan Africa (UN);2022;10;31;91;132
Sudan;2019;16;27;96;139
Sudan;2022;10;31;116;156
Suriname;2019;15;27;70;112
Suriname;2022;19;48;92;158
Sweden;2019;10;20;79;109
Sweden;2020;11;10;61;82
Sweden;2021;10;9;59;79
Sweden;2022;9;9;61;79
Switzerland;2019;13;40;72;125
Switzerland;2022;18;31;119;168
Syria;2019;13;24;88;125
Syria;2022;26;30;172;227
Tajikistan;2019;16;28;97;140
Tajikistan;2022;10;31;86;127
Tanzania;2019;15;27;115;157
Tanzania;2022;10;31;152;193
Thailand;2019;15;27;77;119
Thailand;2022;50;40;86;176
Togo;2019;15;27;101;143
Togo;2022;10;31;92;133
Tonga;2019;16;28;75;119
Tonga;2022;22;32;91;144
Trinidad and Tobago;2019;12;24;68;103
Trinidad and Tobago;2022;15;43;88;146
Tunisia;2019;15;27;88;130
Tunisia;2022;10;31;172;213
Turkey;2019;16;28;93;136
Turkey;2022;32;29;102;163
Turkmenistan;2019;15;27;73;115
Turkmenistan;2022;21;31;88;140
Turks and Caicos Islands;2019;11;23;66;100
Turks and Caicos Islands;2022;17;47;96;159
Tuvalu;2019;17;29;80;126
Tuvalu;2022;19;27;78;124
Uganda;2019;16;29;106;151
Uganda;2022;10;31;110;151
Ukraine;2019;16;28;76;119
Ukraine;2022;8;17;70;95
United Arab Emirates;2019;14;27;100;141
United Arab Emirates;2022;28;24;99;150
United Kingdom;2019;4;17;78;99
United Kingdom;2022;4;16;76;95
United States;2019;17;66;72;155
United States;2022;12;74;73;159
